adjmatrix_key,resp_status,age,religion,caste,speakother,kannada,tamil,telugu,hindi,urdu,english,educ,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
59,2,25,1,4,2,0,0,0,0,0,0,7,1,2,2,1,1,2,1,0
64,1,23,1,3,1,1,0,0,0,0,0,6,1,1,2,1,3,5,0,1
70,1,29,1,4,2,0,0,0,0,0,0,9,1,1,2,1,3,2,0,1
73,1,48,1,4,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
80,1,45,1,4,2,0,0,0,0,0,0,2,1,2,2,1,1,2,0,1
81,2,35,1,4,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,0
98,1,40,1,4,2,0,0,0,0,0,0,7,1,1,1,1,1,2,0,1
103,1,32,1,4,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
107,1,33,1,4,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
108,2,23,1,4,2,0,0,0,0,0,0,10,1,2,1,1,1,2,1,0
115,1,45,1,4,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
117,3,20,1,3,2,0,0,0,0,0,0,10,1,2,2,3,1,2,0,0
130,1,43,1,4,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
131,2,35,1,4,2,0,0,0,0,0,0,9,1,2,2,1,1,2,0,0
134,1,33,1,4,1,0,1,0,1,0,0,4,1,1,2,1,1,2,0,1
151,1,35,1,4,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
185,1,70,1,1,1,0,0,1,0,0,0,16,1,2,2,1,1,2,0,1
188,3,22,1,1,2,0,0,0,0,0,0,10,1,1,2,1,1,2,1,0
189,1,38,1,1,1,0,1,1,1,0,1,14,1,1,2,1,1,2,0,1
209,1,75,1,1,1,0,0,1,0,0,0,16,1,2,2,1,1,2,0,1
212,3,20,1,1,1,0,0,1,0,0,0,4,1,2,2,3,1,2,1,0
216,1,35,1,1,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
217,2,28,1,1,2,0,0,0,0,0,0,6,1,1,2,1,1,2,1,0
223,1,45,1,1,2,0,0,0,0,0,0,5,1,1,2,1,1,2,0,1
230,1,38,1,1,2,0,0,0,0,0,0,6,1,1,1,1,1,2,0,1
236,1,45,1,1,1,0,0,1,0,0,0,7,1,1,2,1,1,2,0,1
241,1,40,1,1,1,0,0,1,0,0,0,9,1,1,1,1,1,2,0,1
258,1,23,1,1,1,0,0,1,0,0,0,5,1,1,2,1,1,2,0,1
263,1,43,1,1,2,0,0,0,0,0,0,2,1,1,2,1,1,2,0,1
284,1,30,1,1,2,0,0,0,0,0,0,4,1,1,2,1,3,2,0,1
297,1,60,1,1,2,0,0,0,0,0,0,5,1,2,2,1,1,2,0,1
299,3,33,1,1,2,0,0,0,0,0,0,3,1,1,2,1,1,2,0,1
304,3,26,1,1,1,0,0,1,0,0,0,6,1,1,2,1,1,2,0,1
305,3,19,1,1,2,0,0,0,0,0,0,4,1,2,2,1,1,2,0,0
313,1,50,1,1,2,0,0,0,0,0,0,5,1,1,2,1,1,2,0,1
327,3,25,1,1,2,0,0,0,0,0,0,2,1,1,2,1,1,2,0,1
342,1,35,1,1,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
